split,engine_id,cycle,label,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,latent_33,latent_34,latent_35,latent_36,latent_37,latent_38,latent_39,latent_40,latent_41,latent_42,latent_43,latent_44,latent_45,latent_46,latent_47,latent_48,latent_49,latent_50,latent_51,latent_52,latent_53,latent_54,latent_55,latent_56,latent_57,latent_58,latent_59,latent_60,latent_61,latent_62,latent_63,logvar_0,logvar_1,logvar_2,logvar_3,logvar_4,logvar_5,logvar_6,logvar_7,logvar_8,logvar_9,logvar_10,logvar_11,logvar_12,logvar_13,logvar_14,logvar_15,logvar_16,logvar_17,logvar_18,logvar_19,logvar_20,logvar_21,logvar_22,logvar_23,logvar_24,logvar_25,logvar_26,logvar_27,logvar_28,logvar_29,logvar_30,logvar_31,logvar_32,logvar_33,logvar_34,logvar_35,logvar_36,logvar_37,logvar_38,logvar_39,logvar_40,logvar_41,logvar_42,logvar_43,logvar_44,logvar_45,logvar_46,logvar_47,logvar_48,logvar_49,logvar_50,logvar_51,logvar_52,logvar_53,logvar_54,logvar_55,logvar_56,logvar_57,logvar_58,logvar_59,logvar_60,logvar_61,logvar_62,logvar_63,attention_mean
train,1,50,normal,0.09212719,-0.08373675,0.026235402,-0.17690006,-0.12597549,0.11167331,-0.1982392,-0.14506635,-0.07434542,0.025003703,0.14523438,-0.2083922,-0.08428822,-0.17292106,0.23731142,-0.1634848,-0.048171453,-0.067068055,-0.1119736,-0.050156172,0.13713177,-0.016718898,-0.009563491,-0.14861651,-0.11194968,0.31835595,-0.0741386,-0.033702094,0.05148321,0.018829126,-0.19474286,-0.090814605,0.16005918,0.13794972,-0.14851975,-0.036877017,-0.028428659,-0.009386562,-0.2410978,0.023795309,-0.23588037,0.05132308,0.070175245,-0.081551805,0.019603614,-0.034515686,-0.024296366,0.13106993,0.022725027,-0.021403264,-0.11721217,-0.06428229,0.075712256,0.047192,-0.14871292,0.06448491,0.18211553,0.14257848,-0.18623754,-0.10511718,0.12339387,-0.07328029,-0.1521188,-0.048616435,-0.1198457,0.07327771,0.0053160116,-0.059171878,0.08459981,-0.03278109,-0.026465788,0.015882708,-0.07148999,-0.14803433,-0.10934626,-0.21384177,0.06297471,0.08292591,0.16781357,0.057235584,-0.07754896,-0.2112655,-0.0051954016,-0.082218744,-0.090391815,0.20004854,-0.054951813,0.038059514,0.03351682,-0.013290098,0.07093925,-0.09294821,-0.09869081,-0.19082308,0.07215607,-0.0532905,0.026511695,-0.02757363,0.015662612,0.046536967,-0.074968465,0.012368113,0.11014353,0.14720932,0.24588674,-0.05958552,0.19470796,0.13472566,0.035353273,-0.09162394,-0.095873885,-0.031859543,-0.13130689,0.027464684,-0.023317285,-0.060373507,-0.17982931,0.050468784,-0.13364902,-0.032382455,-0.0344162,0.13414371,0.0560459,-0.025560757,0.005664875,0.034640066,0.09450936,0.13268337,0.020000003
train,1,51,normal,0.092136726,-0.083734885,0.026250329,-0.17688152,-0.12596557,0.11168124,-0.19822206,-0.145078,-0.074353516,0.025011469,0.14523557,-0.20838973,-0.08429942,-0.17292836,0.23730516,-0.16347522,-0.04817598,-0.067068025,-0.11196089,-0.050161768,0.13714966,-0.016720735,-0.0095727965,-0.14861746,-0.11196786,0.31835243,-0.07412171,-0.033702284,0.05148883,0.018840287,-0.19475044,-0.09081762,0.16004539,0.13797241,-0.14852574,-0.036878638,-0.028413195,-0.0093753785,-0.24110612,0.023781186,-0.23586494,0.051329277,0.070167504,-0.08152872,0.019612206,-0.034531705,-0.024300251,0.13106227,0.022733022,-0.02140668,-0.117205895,-0.06428014,0.07571699,0.04719601,-0.14869562,0.06447505,0.18211706,0.14257354,-0.18625054,-0.10510779,0.12339439,-0.07326155,-0.15212336,-0.048592687,-0.119836986,0.07326183,0.005303167,-0.05916328,0.084612355,-0.032771274,-0.026464783,0.015884195,-0.07147563,-0.14804614,-0.10934819,-0.21383005,0.062965,0.082941286,0.16779824,0.05721885,-0.07757101,-0.21128395,-0.005200483,-0.08220832,-0.090399,0.20004797,-0.05494441,0.03806843,0.03353141,-0.013312452,0.07093752,-0.09295533,-0.098670855,-0.19084115,0.0721374,-0.05329824,0.026506934,-0.027563944,0.015658692,0.046538316,-0.07495369,0.012373775,0.11015813,0.14719895,0.24589348,-0.05956445,0.19469655,0.13470204,0.035358462,-0.09161559,-0.095860824,-0.031845335,-0.13131942,0.027458478,-0.02332241,-0.060347937,-0.17983502,0.050449,-0.13364345,-0.03238153,-0.034405738,0.13413584,0.056061413,-0.025553323,0.0056733033,0.034652926,0.09450528,0.13269684,0.020000003
train,1,52,normal,0.09236244,-0.083822675,0.026340153,-0.17652157,-0.1259458,0.111752495,-0.19788638,-0.14535947,-0.07456494,0.025119394,0.14519605,-0.2083801,-0.08438386,-0.1732167,0.23714876,-0.1634507,-0.048179146,-0.06686315,-0.111811146,-0.050526004,0.1374018,-0.016598929,-0.009714976,-0.14871989,-0.1122549,0.31816712,-0.07397733,-0.03381932,0.051501527,0.019054495,-0.19478875,-0.09073566,0.15999544,0.1381655,-0.14834467,-0.036751226,-0.028278008,-0.0091499165,-0.24127126,0.023664173,-0.23572871,0.05133574,0.06999581,-0.08125418,0.019773275,-0.03468112,-0.024259977,0.13093486,0.02290928,-0.021595802,-0.117025144,-0.064172566,0.075777285,0.047131635,-0.14843482,0.06436814,0.18215531,0.14250368,-0.18627968,-0.10494878,0.12345717,-0.07300508,-0.15219808,-0.04819024,-0.11971074,0.073134944,0.005186811,-0.05892711,0.08495699,-0.032642994,-0.02635502,0.015776355,-0.07112299,-0.1482036,-0.10943348,-0.21379152,0.06269653,0.083288655,0.16774991,0.05693887,-0.077793,-0.2116641,-0.0054223873,-0.08212555,-0.090617165,0.20017439,-0.05473143,0.03811637,0.033773422,-0.013554072,0.07097432,-0.09307795,-0.09843631,-0.19104546,0.07186532,-0.053373914,0.026611391,-0.027456759,0.01569033,0.04645071,-0.074745685,0.012444235,0.110357,0.14687404,0.2460478,-0.059370205,0.1945689,0.13444838,0.035222676,-0.09145788,-0.095645495,-0.031729877,-0.13149874,0.027352009,-0.02352257,-0.060069457,-0.17977603,0.050118417,-0.13365015,-0.032536972,-0.034269385,0.13416353,0.056362282,-0.025355224,0.0057375357,0.035064064,0.09453197,0.13290381,0.02
train,1,53,normal,0.09252707,-0.08388901,0.026401293,-0.17625882,-0.12593651,0.11180069,-0.1976411,-0.14556518,-0.07471985,0.025197487,0.1451652,-0.20837274,-0.08444254,-0.17343053,0.23703212,-0.16343702,-0.048178975,-0.066708244,-0.11170487,-0.05079978,0.13758022,-0.016506888,-0.009816535,-0.14879663,-0.11245927,0.31802946,-0.073877394,-0.03390772,0.051507745,0.019210119,-0.19481249,-0.09067224,0.15996364,0.13829747,-0.14820465,-0.036653772,-0.02818486,-0.008985065,-0.24139002,0.023583623,-0.23563308,0.051337894,0.06986893,-0.08105999,0.019889513,-0.03478522,-0.024226278,0.13084245,0.023036953,-0.02173731,-0.116892345,-0.06409293,0.07581967,0.047080986,-0.14824915,0.06429131,0.18218496,0.14245293,-0.18629345,-0.10483324,0.12350437,-0.072821595,-0.15225306,-0.04789942,-0.11961904,0.07304908,0.00510779,-0.05875359,0.08520782,-0.032551873,-0.026273482,0.015694123,-0.070864305,-0.14831479,-0.10949529,-0.21376806,0.062499262,0.083543316,0.16772223,0.056735262,-0.077949055,-0.21194088,-0.0055859983,-0.08206845,-0.09077771,0.20026997,-0.054576732,0.038146466,0.033948995,-0.013721308,0.0710033,-0.09316551,-0.09826926,-0.19118848,0.071670234,-0.05342742,0.02669194,-0.027381374,0.01571817,0.046385966,-0.07459785,0.012493871,0.11049951,0.1466327,0.24615952,-0.05923576,0.19447774,0.13426983,0.035117242,-0.091341905,-0.095489085,-0.031651042,-0.13162759,0.027273055,-0.023672067,-0.059874132,-0.17972541,0.049878784,-0.13365772,-0.032655016,-0.034170486,0.13418807,0.056579705,-0.025208877,0.005781027,0.035368636,0.09455374,0.13305116,0.02
train,1,54,normal,0.092479534,-0.08387541,0.02637358,-0.17633846,-0.12594831,0.11178116,-0.19771563,-0.14550462,-0.07467563,0.025172442,0.1451713,-0.20837808,-0.084418,-0.1733717,0.23706657,-0.16344914,-0.048175313,-0.06674515,-0.111741975,-0.05073,0.13752249,-0.016525405,-0.0097844,-0.14877881,-0.11239582,0.31806618,-0.0739169,-0.03388717,0.05149989,0.019162934,-0.19479997,-0.09068373,0.15998617,0.13824534,-0.1482321,-0.036674727,-0.028220229,-0.009034723,-0.24135537,0.023616297,-0.23567104,0.051331587,0.06990676,-0.08112691,0.019855525,-0.034745753,-0.0242313,0.13087153,0.022999603,-0.021700874,-0.1169297,-0.064111955,0.075806364,0.047089003,-0.14830713,0.06431958,0.18217552,0.14247029,-0.18627828,-0.104869865,0.12349211,-0.072882146,-0.15223616,-0.047990024,-0.11964865,0.0730835,0.0051381662,-0.05880285,0.08513957,-0.032581408,-0.02629345,0.015712969,-0.07093869,-0.14827839,-0.1094802,-0.21378559,0.06255446,0.08346902,0.1677423,0.05679983,-0.077892065,-0.2118579,-0.005544264,-0.082090616,-0.09073429,0.20024893,-0.05462016,0.03813133,0.03389331,-0.013662063,0.07099691,-0.09313846,-0.09832877,-0.19113857,0.07173371,-0.053407103,0.026677873,-0.027408827,0.015715694,0.046399564,-0.07464627,0.012477316,0.110452525,0.14669931,0.24612805,-0.059286773,0.1945099,0.13433339,0.035137706,-0.09137775,-0.09553933,-0.031682495,-0.1315859,0.027298834,-0.023631737,-0.05994428,-0.17973286,0.04995494,-0.13366261,-0.03262777,-0.034204304,0.13418996,0.05651415,-0.02525074,0.0057627484,0.03528426,0.09455404,0.13300502,0.02
train,1,55,normal,0.09233234,-0.08381942,0.026313536,-0.17657593,-0.12596267,0.11173374,-0.19793731,-0.1453196,-0.07453709,0.025101392,0.14519718,-0.20838629,-0.08436081,-0.17318162,0.23717156,-0.16346663,-0.0481732,-0.06687905,-0.11184119,-0.050491724,0.13735902,-0.016602382,-0.009691626,-0.14871305,-0.112210006,0.31818807,-0.07401272,-0.033811193,0.05149024,0.019022029,-0.19477448,-0.09073585,0.16002259,0.1381182,-0.14834923,-0.03675725,-0.028308583,-0.009183057,-0.24124889,0.023694284,-0.23576325,0.051326513,0.07002013,-0.081307516,0.019751042,-0.034646496,-0.024258062,0.130956,0.022884738,-0.021577014,-0.11704799,-0.06418058,0.075767614,0.04713004,-0.14847597,0.06439209,0.182149,0.14251733,-0.18625873,-0.10497563,0.123450674,-0.07305085,-0.1521869,-0.048253894,-0.11973266,0.073166825,0.005213812,-0.058957946,0.08491795,-0.032664947,-0.02636446,0.015783597,-0.071169965,-0.14817588,-0.10942649,-0.21381319,0.062729776,0.08324075,0.1677749,0.056985572,-0.07774539,-0.2116083,-0.005401287,-0.08214487,-0.09059252,0.2001678,-0.054758605,0.038100135,0.033733536,-0.013504947,0.070972316,-0.09305881,-0.09848525,-0.19100508,0.07191269,-0.05335614,0.026611771,-0.027480202,0.015694747,0.046454668,-0.07478207,0.012431495,0.11032094,0.14691307,0.24602851,-0.059414797,0.19459468,0.13450053,0.035225805,-0.091482736,-0.0956825,-0.03175853,-0.13146806,0.027371045,-0.023500241,-0.060127765,-0.1797732,0.050173935,-0.13366002,-0.03252635,-0.03429568,0.13417394,0.056317452,-0.02538134,0.0057201525,0.03501404,0.09453899,0.13287109,0.020000003
train,1,56,normal,0.09218923,-0.08375397,0.026275784,-0.17679758,-0.12595898,0.11169806,-0.1981447,-0.14514071,-0.07440221,0.025038615,0.14522745,-0.20838997,-0.08432103,-0.17299062,0.23727095,-0.16346727,-0.048179395,-0.06702297,-0.11192411,-0.050243743,0.1372113,-0.01669101,-0.0096080825,-0.14864369,-0.11203925,0.31831226,-0.074085936,-0.03372965,0.051490754,0.01889047,-0.19476172,-0.09079897,0.1600361,0.1380206,-0.14848673,-0.036849268,-0.02837683,-0.009324484,-0.24114783,0.023752492,-0.23583251,0.0513322,0.07013002,-0.08146095,0.019653462,-0.034568936,-0.024294257,0.13103221,0.022775006,-0.02145058,-0.11716486,-0.06425159,0.07573345,0.047182687,-0.14862978,0.06445176,0.18212327,0.14255881,-0.1862607,-0.10507222,0.123406924,-0.07319969,-0.15214121,-0.04849786,-0.11980596,0.07322824,0.0052745715,-0.059109394,0.084696695,-0.032737408,-0.026439339,0.015863288,-0.07139406,-0.14808555,-0.109371156,-0.21382022,0.06290274,0.0830224,0.16778232,0.05715449,-0.07762689,-0.21137118,-0.005254425,-0.08218549,-0.09045212,0.20007786,-0.05489502,0.038081832,0.0335871,-0.013373615,0.07094228,-0.092985034,-0.09861742,-0.19089198,0.07207249,-0.05331637,0.026529457,-0.027539372,0.01566595,0.046518996,-0.074903846,0.012391411,0.1102072,0.14712426,0.24593228,-0.059515484,0.19466516,0.13463904,0.035330717,-0.0915807,-0.09581214,-0.031815473,-0.13136281,0.027435716,-0.023367308,-0.060280718,-0.17982426,0.05037298,-0.13364747,-0.032415193,-0.03437467,0.13413987,0.056131735,-0.025509005,0.0056890603,0.034746632,0.09451318,0.1327492,0.020000003
train,1,57,normal,0.09242152,-0.08385736,0.026343293,-0.17643481,-0.12596056,0.11175822,-0.1978055,-0.14543101,-0.07462139,0.025143001,0.1451796,-0.20838368,-0.084389925,-0.17329872,0.2371091,-0.16346204,-0.048171867,-0.0667924,-0.111785755,-0.050643526,0.13745408,-0.016549237,-0.009745866,-0.14875615,-0.11231983,0.31811222,-0.073961884,-0.033860892,0.05149158,0.019105699,-0.19478528,-0.090699054,0.16000968,0.13818538,-0.1482687,-0.036702175,-0.028260775,-0.009094499,-0.24131362,0.023653563,-0.23571494,0.051325705,0.0699516,-0.08120547,0.019814033,-0.03469967,-0.024238259,0.13090676,0.02295408,-0.02165513,-0.11697582,-0.06413593,0.075790346,0.04710015,-0.14837664,0.064352974,0.18216461,0.14249052,-0.18626243,-0.10491452,0.12347647,-0.072953925,-0.15221602,-0.048098266,-0.11968434,0.07312338,0.0051726773,-0.058863465,0.08505589,-0.032616343,-0.026318833,0.015737265,-0.071029544,-0.14823505,-0.10946142,-0.21380419,0.062622346,0.083378606,0.16776417,0.056877196,-0.07782611,-0.21175732,-0.0054920353,-0.08211569,-0.090680905,0.20022213,-0.054673687,0.038114455,0.03382715,-0.013592573,0.07098858,-0.09310611,-0.09839847,-0.19107953,0.07180925,-0.05338342,0.02665903,-0.027441297,0.015711434,0.046417363,-0.074703306,0.012457892,0.11039615,0.14678156,0.24608976,-0.05934593,0.19454744,0.1344079,0.03516544,-0.09142076,-0.095599666,-0.03171867,-0.13153644,0.0273295,-0.023581952,-0.06002617,-0.1797437,0.050046433,-0.13366666,-0.032592736,-0.03424397,0.13419056,0.05643455,-0.025301946,0.0057419427,0.035180047,0.094553396,0.13295037,0.02
train,1,58,normal,0.092143685,-0.08373992,0.026250523,-0.17687231,-0.12596917,0.11167981,-0.198214,-0.14508486,-0.07435961,0.025014691,0.14523342,-0.20839208,-0.084298834,-0.17293605,0.23730206,-0.16347781,-0.048175003,-0.06705931,-0.11195935,-0.05017721,0.13715595,-0.016711753,-0.009576336,-0.14862353,-0.1119764,0.3183468,-0.07412163,-0.03370833,0.051485702,0.018845648,-0.1947491,-0.09081155,0.16005129,0.1379725,-0.1485151,-0.0368713,-0.02841125,-0.009369552,-0.24111229,0.02378183,-0.23586595,0.05132732,0.07016288,-0.0815243,0.01961848,-0.034532145,-0.024297595,0.13105975,0.022738028,-0.021414397,-0.11720053,-0.06427325,0.07571932,0.047191136,-0.14868739,0.06447554,0.18211715,0.14257337,-0.18624702,-0.105105124,0.12339625,-0.07325657,-0.15212575,-0.048582695,-0.119834244,0.07326129,0.005302511,-0.05915638,0.08462745,-0.032767463,-0.026459955,0.0158799,-0.071464814,-0.14805,-0.109353185,-0.21383438,0.06295596,0.08295166,0.16780084,0.057213604,-0.07757374,-0.21129356,-0.005211044,-0.08220664,-0.09040818,0.20005563,-0.054937903,0.038067434,0.03353609,-0.013316032,0.07093806,-0.09295846,-0.09866993,-0.19084454,0.07213202,-0.05329793,0.02651449,-0.027564168,0.015662445,0.04653339,-0.0749494,0.012375459,0.11016179,0.14718775,0.24589965,-0.059563167,0.19469464,0.13469836,0.035350982,-0.091612756,-0.09585774,-0.03184505,-0.13132367,0.027457524,-0.023329474,-0.06034547,-0.17983106,0.05044322,-0.13364801,-0.032388683,-0.03440427,0.13414088,0.056069355,-0.025547666,0.005672576,0.034666136,0.09451072,0.13270319,0.019999998
train,1,59,normal,0.09221059,-0.083762154,0.026283883,-0.17676306,-0.12595665,0.111705184,-0.19811219,-0.14516911,-0.07442204,0.02504826,0.14522356,-0.20838727,-0.08432907,-0.17301917,0.23725533,-0.1634645,-0.04817861,-0.067004256,-0.11191052,-0.05027761,0.13723561,-0.016681649,-0.009620562,-0.14865056,-0.112065,0.3182943,-0.07407139,-0.03373933,0.051493905,0.018910896,-0.19476503,-0.09079224,0.1600276,0.13804032,-0.1484713,-0.036838878,-0.028365154,-0.009301327,-0.2411615,0.023740435,-0.23581848,0.051332965,0.07011181,-0.08143523,0.019666856,-0.03458353,-0.024289254,0.13102031,0.022790637,-0.02146715,-0.11714784,-0.06424414,0.07573841,0.04717692,-0.14860648,0.06443924,0.18212873,0.14255083,-0.18626392,-0.10505534,0.123413906,-0.07317525,-0.15214875,-0.048459023,-0.11979456,0.073216125,0.005262427,-0.05908685,0.084726974,-0.03272703,-0.026429996,0.015851494,-0.07136059,-0.14810026,-0.10937638,-0.21381554,0.062877744,0.08305497,0.16777736,0.057126775,-0.077647805,-0.21140844,-0.005273003,-0.08217804,-0.09047057,0.20008835,-0.05487549,0.03808636,0.033610974,-0.013396019,0.07094739,-0.09299618,-0.09859272,-0.19091189,0.072046325,-0.05332373,0.026538718,-0.027528264,0.015667453,0.046510868,-0.07488358,0.012398012,0.110225216,0.14709383,0.24594486,-0.059496604,0.19465292,0.13461424,0.035318043,-0.091564685,-0.095790386,-0.03180441,-0.13138016,0.027424384,-0.02338653,-0.060253084,-0.1798196,0.050340433,-0.13364515,-0.032429732,-0.034360535,0.13414273,0.056160886,-0.025489204,0.0056957277,0.034785233,0.09451397,0.13276699,0.02
