split,engine_id,cycle,label,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,latent_33,latent_34,latent_35,latent_36,latent_37,latent_38,latent_39,latent_40,latent_41,latent_42,latent_43,latent_44,latent_45,latent_46,latent_47,latent_48,latent_49,latent_50,latent_51,latent_52,latent_53,latent_54,latent_55,latent_56,latent_57,latent_58,latent_59,latent_60,latent_61,latent_62,latent_63,logvar_0,logvar_1,logvar_2,logvar_3,logvar_4,logvar_5,logvar_6,logvar_7,logvar_8,logvar_9,logvar_10,logvar_11,logvar_12,logvar_13,logvar_14,logvar_15,logvar_16,logvar_17,logvar_18,logvar_19,logvar_20,logvar_21,logvar_22,logvar_23,logvar_24,logvar_25,logvar_26,logvar_27,logvar_28,logvar_29,logvar_30,logvar_31,logvar_32,logvar_33,logvar_34,logvar_35,logvar_36,logvar_37,logvar_38,logvar_39,logvar_40,logvar_41,logvar_42,logvar_43,logvar_44,logvar_45,logvar_46,logvar_47,logvar_48,logvar_49,logvar_50,logvar_51,logvar_52,logvar_53,logvar_54,logvar_55,logvar_56,logvar_57,logvar_58,logvar_59,logvar_60,logvar_61,logvar_62,logvar_63,attention_mean
train,1,50,normal,-0.021715023,-0.06324403,0.10620354,0.0750822,-0.008216441,0.07875511,0.23723239,0.07298873,-0.13211372,-0.032591417,0.037539814,0.06757376,0.18490002,-0.2349849,-0.10652026,0.056410637,-0.08695655,0.0024070516,0.06507276,-0.109059006,0.0033482723,0.07258228,0.046429083,-0.06991322,0.05128835,-0.03336996,0.13360041,-0.023217902,-0.19277063,-0.23977986,-0.06453639,0.24447015,-0.03376121,0.04577864,-0.13374382,0.024324894,-0.06612821,0.035023067,0.13392138,-0.14463097,0.15925762,0.06863333,0.114819124,-0.10297416,-0.2251311,0.035716526,-0.19775988,0.0011350885,-0.13173088,-0.010751531,0.0032219477,-0.09439837,0.16132109,-0.14954937,-0.045147277,0.07068365,0.023866307,0.00055246055,0.07815024,-0.16435078,0.15976843,-0.011425469,-0.14464673,0.029809259,-0.100259155,-0.14413047,-0.085901484,-0.18589762,-0.23498318,-0.2867226,-0.11713225,0.0020601184,-0.047301702,0.31997132,0.036932718,-0.17182937,0.07983861,0.09294288,0.08927879,0.13610521,0.030334566,-0.017194651,-0.080374464,-0.008105615,-0.007642733,0.17097862,-0.10384073,0.11777779,0.020833082,0.10868031,-0.014230985,-0.012661323,0.06892464,-0.015156146,0.0425955,0.14803196,-0.072656214,0.017345937,0.07481993,0.011538349,-0.15088737,-0.029043566,-0.06694928,0.0720149,0.020462643,0.1470226,-0.092207626,0.08632397,0.030234972,0.1475823,0.08054922,0.1043427,0.06338545,0.051201075,0.145951,-0.12914474,0.18899372,0.025433503,0.20142387,-0.0019111447,-0.121571116,-0.04096418,0.037672773,-0.20480347,-0.12629281,0.109690994,-0.09615954,-0.09496681,0.019999998
train,1,51,normal,-0.021711685,-0.06324187,0.10619192,0.07507594,-0.008233957,0.078754,0.23722073,0.07298916,-0.13210371,-0.032577895,0.037547324,0.06755515,0.18488683,-0.23497504,-0.10651895,0.056410372,-0.08695013,0.0024154317,0.06505686,-0.1090602,0.003337469,0.072596595,0.046426862,-0.06988983,0.051293954,-0.033370227,0.13362092,-0.023208767,-0.19276445,-0.23978648,-0.06452412,0.24448779,-0.03374797,0.045779943,-0.13374814,0.024311464,-0.06612384,0.035046466,0.13390347,-0.14461601,0.15926532,0.068630725,0.11483179,-0.10298354,-0.225113,0.03569632,-0.19773743,0.0011391006,-0.1317204,-0.010737108,0.003233239,-0.0944044,0.16131714,-0.14956382,-0.04516699,0.070681304,0.023886811,0.00054682046,0.07814175,-0.16433302,0.1597768,-0.011415333,-0.14463702,0.029810138,-0.10024019,-0.1441138,-0.0859053,-0.18591283,-0.2349982,-0.2867361,-0.11714487,0.0020734414,-0.047317766,0.31994775,0.03693489,-0.1718283,0.079852834,0.0929304,0.08927938,0.1360907,0.03032428,-0.01718039,-0.08036646,-0.008122344,-0.007651521,0.17099157,-0.10383137,0.11778241,0.020854529,0.10868535,-0.014229268,-0.012654781,0.068923,-0.01514977,0.04259122,0.1480204,-0.07266943,0.017351143,0.07483187,0.011523157,-0.15089437,-0.029050682,-0.06693113,0.072021075,0.020459075,0.14700708,-0.092192486,0.08634687,0.030221505,0.14756158,0.08053194,0.10434501,0.06339289,0.05119373,0.14597057,-0.12914856,0.18898353,0.025444783,0.20141321,-0.0019072033,-0.12157904,-0.040953323,0.037671983,-0.20480737,-0.12627853,0.1096898,-0.09614788,-0.094978176,0.020000003
train,1,52,normal,-0.02177424,-0.06321113,0.106070146,0.07511152,-0.008570634,0.078696184,0.23710865,0.07300497,-0.13183855,-0.032478973,0.03754076,0.067300536,0.18460032,-0.23492971,-0.10639883,0.056408808,-0.086972676,0.0026488062,0.06478925,-0.1088397,0.0031371117,0.07281497,0.046399847,-0.06969616,0.051254585,-0.03334661,0.13383725,-0.023205943,-0.19265756,-0.23991564,-0.064316146,0.2446692,-0.033630066,0.04576885,-0.13373423,0.024266023,-0.066035494,0.035133407,0.13362662,-0.14441904,0.15949461,0.06865378,0.115147896,-0.10305858,-0.22500136,0.035614513,-0.19748053,0.0011069477,-0.1314766,-0.010684014,0.0034549497,-0.09451533,0.16138451,-0.14981493,-0.045449674,0.07066305,0.023979116,0.0005473569,0.07813039,-0.16411087,0.15979965,-0.011172205,-0.14440593,0.029643992,-0.0998936,-0.14399204,-0.085787766,-0.18628335,-0.23531243,-0.28697985,-0.11738693,0.0021742356,-0.047658503,0.31963542,0.037057776,-0.17185584,0.08031715,0.09282592,0.089507796,0.13577123,0.030142158,-0.016928822,-0.08030641,-0.008285785,-0.00776452,0.17126691,-0.10364037,0.11776504,0.021170098,0.108650595,-0.014087662,-0.01258783,0.06885249,-0.015008571,0.04251904,0.14781545,-0.072832406,0.017512241,0.07510753,0.011270873,-0.15108442,-0.029136844,-0.06660328,0.072174765,0.020460036,0.1468133,-0.09196065,0.086489074,0.0299757,0.14723568,0.080399714,0.10434418,0.06356362,0.051116936,0.14639312,-0.1291785,0.18875438,0.025475826,0.2012802,-0.001876235,-0.12158641,-0.040617798,0.037622593,-0.20491356,-0.12601069,0.109704554,-0.09623507,-0.095387176,0.02
train,1,53,normal,-0.021822326,-0.06318897,0.10598515,0.07514312,-0.008814819,0.07865253,0.23702928,0.073017165,-0.1316436,-0.0324122,0.037532073,0.06712076,0.18439029,-0.23489952,-0.10630899,0.056409292,-0.08699425,0.002820287,0.06459572,-0.108672164,0.0029912516,0.07297043,0.04638264,-0.069563255,0.051222526,-0.033328354,0.1339896,-0.023209043,-0.19258104,-0.24000764,-0.06416626,0.24479565,-0.033548154,0.04575849,-0.13372064,0.024240091,-0.06596943,0.03518445,0.13342622,-0.14427784,0.1596642,0.0686729,0.11537771,-0.10310839,-0.22492938,0.03556505,-0.19729899,0.0010793954,-0.1312973,-0.0106516825,0.0036146753,-0.0945939,0.16143596,-0.14999723,-0.045650795,0.07065258,0.024036799,0.00055229664,0.07812597,-0.16395307,0.15981245,-0.010994956,-0.14423668,0.029518561,-0.099643216,-0.14390898,-0.085697815,-0.18655375,-0.23554105,-0.28715575,-0.11756055,0.0022424252,-0.047905643,0.31941316,0.037150398,-0.17187713,0.08066135,0.09275269,0.08967877,0.1355381,0.030010711,-0.016748842,-0.08026543,-0.008398487,-0.007845099,0.17146721,-0.10349991,0.11774901,0.0213953,0.108621985,-0.013981257,-0.012541227,0.06879795,-0.014906088,0.04246518,0.14766505,-0.07294567,0.017633688,0.07531047,0.011090867,-0.15122303,-0.029197443,-0.06636519,0.07228989,0.020464614,0.14667556,-0.09179376,0.08658169,0.02979725,0.1470025,0.08030982,0.104343414,0.06368819,0.05106183,0.14670235,-0.12920055,0.18858603,0.025494002,0.20118466,-0.0018559173,-0.12158632,-0.040369123,0.037586216,-0.20499057,-0.12581521,0.109713614,-0.09630748,-0.095689766,0.019999996
train,1,54,normal,-0.021813955,-0.06319688,0.10601674,0.0751404,-0.0087413415,0.07866361,0.23706076,0.07301315,-0.13169916,-0.03243959,0.037526105,0.06717933,0.18445233,-0.23491675,-0.10633027,0.056408033,-0.086994715,0.0027725212,0.06465695,-0.10871088,0.0030372068,0.072921105,0.04638715,-0.06961696,0.051224127,-0.0333329,0.13393536,-0.023217134,-0.19260406,-0.2399801,-0.06421323,0.24474853,-0.03357976,0.04575931,-0.1337195,0.024258833,-0.06599042,0.03515032,0.13349128,-0.14432529,0.15961686,0.06867135,0.11531288,-0.10308941,-0.224963,0.03559535,-0.19736266,0.0010827929,-0.13134901,-0.010673561,0.003568776,-0.09457085,0.16142946,-0.14994001,-0.0455852,0.07065646,0.024005476,0.00055585057,0.078134775,-0.1640077,0.15980095,-0.0110459365,-0.14428651,0.029547732,-0.09972002,-0.14394444,-0.08571492,-0.18647605,-0.23547235,-0.28710118,-0.11750929,0.0022135894,-0.047832802,0.31948775,0.037125546,-0.17187423,0.08056683,0.09278252,0.08963813,0.13560596,0.03005144,-0.016804157,-0.08028247,-0.008358481,-0.0078171855,0.17140788,-0.10354187,0.11774882,0.021322526,0.108623676,-0.014008295,-0.012558021,0.06881334,-0.014935993,0.04248274,0.14771293,-0.07290715,0.017598726,0.07525163,0.011146426,-0.15118445,-0.029177409,-0.06643811,0.072256126,0.02046588,0.14672306,-0.09184748,0.08653964,0.029852198,0.14707628,0.08034714,0.10434124,0.06365188,0.05108331,0.14661022,-0.12919146,0.18863678,0.025478784,0.20121858,-0.0018628724,-0.12157894,-0.040439513,0.037594773,-0.20496893,-0.12587452,0.109714404,-0.09630154,-0.09560815,0.02
train,1,55,normal,-0.021774303,-0.06321774,0.10609719,0.075116225,-0.008520976,0.078701325,0.23713711,0.07300217,-0.1318731,-0.032504044,0.03752799,0.06734472,0.1846407,-0.23494834,-0.1064074,0.05640676,-0.08698005,0.0026201755,0.064833485,-0.10885473,0.0031701103,0.07277929,0.046402518,-0.06974581,0.051248133,-0.033348516,0.1337927,-0.023220345,-0.1926732,-0.2398963,-0.064349614,0.2446281,-0.03365794,0.04576712,-0.13372818,0.024289608,-0.0660507,0.0350918,0.13367495,-0.14445531,0.15946636,0.06865722,0.115108,-0.10304189,-0.22503603,0.03565018,-0.19753174,0.0011039935,-0.131509,-0.010710495,0.0034260675,-0.09450007,0.16138871,-0.14977425,-0.04539997,0.07066665,0.023944665,0.0005550608,0.07814302,-0.16415417,0.15978473,-0.011204764,-0.14443871,0.029655708,-0.099946916,-0.14402598,-0.08579008,-0.18623409,-0.23526555,-0.28694093,-0.11735278,0.002146834,-0.047610678,0.31969318,0.03704404,-0.17185703,0.08026221,0.09285318,0.089490294,0.13581473,0.030170932,-0.016967861,-0.08032253,-0.008253185,-0.0077422634,0.17122719,-0.10366746,0.117759906,0.02111594,0.10864507,-0.014100987,-0.012602046,0.068861544,-0.01502751,0.042531982,0.1478502,-0.072801456,0.017490607,0.075069964,0.011310019,-0.15106137,-0.029121567,-0.066653594,0.072153516,0.020463597,0.1468511,-0.09199995,0.08644704,0.030013654,0.1472891,0.08043494,0.104340136,0.06354021,0.051136106,0.14633206,-0.1291701,0.18878879,0.02545644,0.20130786,-0.0018817261,-0.12157406,-0.04066089,0.037626088,-0.20490009,-0.12605089,0.10970825,-0.09624611,-0.095340915,0.020000003
train,1,56,normal,-0.02172415,-0.06323558,0.10616258,0.07507971,-0.00831423,0.07874072,0.23719773,0.072991155,-0.13204287,-0.03255128,0.037546348,0.06749197,0.18482104,-0.23496434,-0.10648947,0.05640816,-0.08695174,0.0024706647,0.0649951,-0.109011814,0.0032941103,0.072649725,0.046417102,-0.06984238,0.05128426,-0.03336657,0.13367495,-0.023206167,-0.1927368,-0.23981744,-0.06447576,0.24453053,-0.033718057,0.045776125,-0.13374528,0.024298307,-0.06610602,0.035071578,0.13384023,-0.14456853,0.15931734,0.06863574,0.114907734,-0.103005245,-0.2250831,0.03567227,-0.1976753,0.0011349246,-0.13166285,-0.010723649,0.0032899827,-0.09443273,0.16133508,-0.14962125,-0.04523398,0.07067511,0.023914974,0.000544101,0.07813706,-0.16428164,0.1597815,-0.0113580115,-0.14458448,0.029774811,-0.10015875,-0.14408326,-0.08587848,-0.18599904,-0.23506936,-0.28679264,-0.11720425,0.002097456,-0.047397092,0.31987402,0.03696075,-0.17183703,0.07995915,0.09290686,0.08933007,0.13601476,0.03028148,-0.01711944,-0.08035058,-0.008166495,-0.007677121,0.1710564,-0.10378725,0.11778047,0.020930942,0.10867791,-0.014197912,-0.012638032,0.06890861,-0.0151166245,0.04257569,0.14797495,-0.07271016,0.0173852,0.07489666,0.011460997,-0.15093961,-0.029073149,-0.06685344,0.0720543,0.020456374,0.1469616,-0.09213854,0.08638566,0.03016512,0.14748304,0.080498524,0.10434652,0.06343178,0.051178247,0.14606768,-0.12915578,0.18893322,0.02545372,0.20138456,-0.0018957593,-0.12158224,-0.040879093,0.037659474,-0.20483151,-0.1262152,0.10969557,-0.096164554,-0.095072314,0.019999996
train,1,57,normal,-0.021802794,-0.06320597,0.1060532,0.07513591,-0.008652337,0.07867728,0.23709723,0.07300869,-0.13176703,-0.032470495,0.037520397,0.067249216,0.18452749,-0.23493534,-0.106357,0.056406572,-0.086993985,0.0027137268,0.06473043,-0.10876051,0.0030924715,0.07286288,0.04639275,-0.06967868,0.051227886,-0.03333839,0.13387176,-0.023224808,-0.19263174,-0.23994616,-0.06426978,0.24469346,-0.033616498,0.04576103,-0.13371941,0.02427952,-0.06601566,0.035113245,0.13356906,-0.14438114,0.15955895,0.06866883,0.1152337,-0.103067435,-0.22500083,0.035628673,-0.1974369,0.0010875948,-0.13141175,-0.010697187,0.003512986,-0.09454287,0.1614196,-0.14987177,-0.04550653,0.07066108,0.023970854,0.00055910647,0.078143276,-0.16407162,0.15978898,-0.01110813,-0.14434716,0.029585065,-0.09981242,-0.14398493,-0.085738204,-0.18638095,-0.23538852,-0.28703526,-0.11744701,0.0021806443,-0.047744364,0.3195761,0.037094843,-0.1718697,0.08045028,0.09281664,0.08958608,0.13568836,0.03010057,-0.016870761,-0.080302104,-0.008312076,-0.0077847335,0.17133535,-0.10359178,0.11774965,0.021236155,0.10862723,-0.0140419565,-0.012578122,0.06883206,-0.014971593,0.04250367,0.14777061,-0.07286107,0.01755622,0.07517975,0.011213079,-0.15113725,-0.02915366,-0.06652611,0.0722155,0.020466432,0.14677906,-0.091911346,0.08649232,0.029918304,0.14716446,0.080389835,0.10433889,0.06360767,0.05110822,0.14649889,-0.12918065,0.18869817,0.025462702,0.20125833,-0.0018707849,-0.12157163,-0.04052511,0.0376055,-0.20494235,-0.12594616,0.1097147,-0.09629026,-0.09550721,0.02
train,1,58,normal,-0.021715607,-0.06324238,0.106191725,0.07507845,-0.008243524,0.0787512,0.23722282,0.072989024,-0.13209559,-0.032576986,0.03754248,0.06754903,0.18487856,-0.23497751,-0.10651175,0.056408253,-0.08695323,0.0024235323,0.06505172,-0.109049894,0.003334839,0.07260234,0.046424124,-0.06989092,0.051288903,-0.033369653,0.13362435,-0.023212776,-0.19276068,-0.23978958,-0.064519435,0.24448767,-0.033747338,0.04577817,-0.13374513,0.024315167,-0.06612339,0.035040542,0.13389897,-0.14461246,0.15927273,0.068633884,0.11484315,-0.10298559,-0.22511463,0.03570031,-0.19773364,0.0011363178,-0.13171239,-0.010741655,0.003242664,-0.09440882,0.16132478,-0.1495688,-0.045172155,0.07068042,0.023885112,0.0005482808,0.078144,-0.1643306,0.15977366,-0.011407636,-0.14463118,0.029802803,-0.10023154,-0.14411488,-0.08589777,-0.18592444,-0.23500538,-0.2867409,-0.117152825,0.002072275,-0.047327727,0.3199427,0.03693829,-0.1718317,0.07986929,0.0929315,0.08928993,0.13608056,0.03032,-0.017174112,-0.08036673,-0.008126858,-0.0076521914,0.170999,-0.103825726,0.11778013,0.02086129,0.10868098,-0.0142239295,-0.012653813,0.06892158,-0.01514495,0.042590663,0.14801764,-0.07267207,0.017354896,0.07484034,0.011516087,-0.15090127,-0.029053159,-0.06692252,0.07202483,0.020459276,0.14700478,-0.09218782,0.0863463,0.030215591,0.1475538,0.08053252,0.10434357,0.0633979,0.05119551,0.14598128,-0.1291481,0.188979,0.02544137,0.20141312,-0.0019049831,-0.12157634,-0.040944267,0.03766874,-0.20481062,-0.1262713,0.10969381,-0.096156806,-0.09499314,0.019999998
train,1,59,normal,-0.021730036,-0.06323246,0.106150895,0.0750838,-0.008345522,0.07873534,0.23718348,0.07299377,-0.13201763,-0.03254167,0.03754675,0.067468144,0.18479273,-0.23495826,-0.10647955,0.056408037,-0.086954854,0.0024913233,0.06496873,-0.1089918,0.0032729283,0.0726703,0.04641587,-0.06982218,0.05128296,-0.033363402,0.1336962,-0.023205325,-0.19272816,-0.23982894,-0.064454965,0.24454916,-0.033706546,0.045776486,-0.13374487,0.024293244,-0.06609605,0.035080552,0.13381182,-0.14454961,0.15933925,0.068637714,0.11493592,-0.1030117,-0.22507192,0.035664156,-0.19764939,0.0011303835,-0.1316405,-0.010716927,0.0033086129,-0.09444224,0.16133907,-0.14964607,-0.045262136,0.07067408,0.023923527,0.0005443543,0.07813519,-0.16425842,0.15978606,-0.011335626,-0.14456221,0.029758636,-0.10012561,-0.14407043,-0.08586927,-0.1860342,-0.23510075,-0.286816,-0.11722575,0.0021090652,-0.04743008,0.31984234,0.036972903,-0.17183769,0.080003195,0.09289431,0.0893515,0.13598561,0.030263904,-0.01709706,-0.08034517,-0.008181176,-0.007688706,0.17108177,-0.103768684,0.117778644,0.020960357,0.108675435,-0.014185019,-0.012631103,0.06890157,-0.0151031185,0.042568073,0.14795405,-0.07272503,0.017401911,0.074922115,0.011438549,-0.15095656,-0.029080763,-0.066822365,0.072070196,0.020457435,0.14694163,-0.09211527,0.086400226,0.03014035,0.14745241,0.080484875,0.104344845,0.06344879,0.051169045,0.14610809,-0.1291588,0.1889099,0.025457643,0.20136942,-0.0018948577,-0.12158425,-0.040846683,0.037655354,-0.20484206,-0.12619007,0.10969652,-0.09617193,-0.09511007,0.019999996
