sample_id,ground_truth,classical_prediction,hybrid_prediction,classical_score,hybrid_score,classical_classification,hybrid_classification
0,0,0,1,0.47462883591651917,1.0177119970321655,TN,FP
1,0,0,1,0.47403326630592346,1.0185902118682861,TN,FP
2,0,0,1,0.46674901247024536,1.0461337566375732,TN,FP
3,0,0,1,0.4759427607059479,0.974720299243927,TN,FP
4,0,0,1,0.45945000648498535,1.001918077468872,TN,FP
5,0,0,1,0.4768598675727844,0.9725565314292908,TN,FP
6,0,0,1,0.48016592860221863,1.0086451768875122,TN,FP
7,0,0,1,0.5064194202423096,0.9804298877716064,TN,FP
8,0,0,1,0.4953829050064087,0.9291762709617615,TN,FP
9,0,0,1,0.513296902179718,0.9699350595474243,TN,FP
10,0,0,1,0.48261094093322754,0.9291917681694031,TN,FP
11,0,0,1,0.4914383292198181,0.9151554703712463,TN,FP
12,0,0,1,0.49124830961227417,0.9419019818305969,TN,FP
13,0,0,1,0.4900974929332733,0.9582664370536804,TN,FP
14,0,0,1,0.49888885021209717,0.9750856757164001,TN,FP
15,0,0,1,0.49100548028945923,0.9519351720809937,TN,FP
16,0,0,1,0.4976276457309723,0.9664003252983093,TN,FP
17,0,0,1,0.4971042573451996,0.9835204482078552,TN,FP
18,0,0,1,0.5064336657524109,0.9019075632095337,TN,FP
19,0,0,1,0.5164995193481445,0.9419581890106201,TN,FP
20,0,0,1,0.5152652263641357,0.9277610778808594,TN,FP
21,0,0,1,0.5122780799865723,1.0194398164749146,TN,FP
22,0,0,1,0.5235129594802856,0.9930332899093628,TN,FP
23,0,0,1,0.5266771912574768,0.9420844316482544,TN,FP
24,0,0,1,0.5269404053688049,0.9591593146324158,TN,FP
25,0,0,1,0.5343703627586365,0.9572576880455017,TN,FP
26,0,0,1,0.5327164530754089,0.9901150465011597,TN,FP
27,0,0,1,0.5330347418785095,0.9340518116950989,TN,FP
28,0,0,1,0.5414665341377258,0.8920000195503235,TN,FP
29,0,0,1,0.5309181213378906,0.9093612432479858,TN,FP
30,0,0,1,0.5438092947006226,0.960366427898407,TN,FP
31,0,0,1,0.5292530059814453,0.9511160850524902,TN,FP
32,0,0,1,0.5430314540863037,1.0061594247817993,TN,FP
33,0,0,1,0.510134756565094,0.9563695788383484,TN,FP
34,0,0,1,0.5221582651138306,0.9427294731140137,TN,FP
35,0,0,1,0.5049031376838684,0.8931514620780945,TN,FP
36,0,0,1,0.5132043361663818,0.9375252723693848,TN,FP
37,0,0,1,0.5214343070983887,0.9598773121833801,TN,FP
38,0,0,1,0.513671875,0.8897446990013123,TN,FP
39,0,0,1,0.5106903314590454,0.8837937712669373,TN,FP
40,0,0,1,0.5298678874969482,0.8754470944404602,TN,FP
41,0,0,1,0.5093718767166138,0.8931426405906677,TN,FP
42,0,0,1,0.5165767073631287,0.9216463565826416,TN,FP
43,0,0,1,0.5419683456420898,0.8872940540313721,TN,FP
44,0,0,1,0.5277324914932251,0.9298423528671265,TN,FP
45,0,0,1,0.5359259247779846,0.8733257055282593,TN,FP
46,0,0,1,0.5254032015800476,0.8728564977645874,TN,FP
47,0,0,1,0.5646671056747437,0.887474536895752,TN,FP
48,0,0,1,0.5242597460746765,0.9104694128036499,TN,FP
49,0,0,1,0.543842077255249,0.9108725190162659,TN,FP
50,0,0,1,0.5418055057525635,0.8876557350158691,TN,FP
51,0,0,1,0.5341528058052063,0.8611109852790833,TN,FP
52,0,0,1,0.5608842372894287,0.8858448266983032,TN,FP
53,0,0,1,0.5656481385231018,0.878598690032959,TN,FP
54,0,0,1,0.5599226951599121,0.8612499237060547,TN,FP
55,0,0,1,0.5434067249298096,0.8189383149147034,TN,FP
56,0,0,1,0.5542235374450684,0.8426854610443115,TN,FP
57,0,0,1,0.5341619849205017,0.8549256920814514,TN,FP
58,0,0,1,0.5335211753845215,0.8044183254241943,TN,FP
59,0,0,1,0.5569821000099182,0.8308389186859131,TN,FP
60,0,0,1,0.5441343188285828,0.802489697933197,TN,FP
61,0,0,1,0.5536404252052307,0.8215516805648804,TN,FP
62,0,0,1,0.5587512254714966,0.7955756187438965,TN,FP
63,0,0,1,0.5522216558456421,0.8056963086128235,TN,FP
64,0,0,1,0.542192280292511,0.8124961853027344,TN,FP
65,0,0,1,0.540725827217102,0.7968242764472961,TN,FP
66,0,0,1,0.5324538350105286,0.7893327474594116,TN,FP
67,0,0,1,0.551363468170166,0.7759523987770081,TN,FP
68,0,0,1,0.5418549180030823,0.7733666896820068,TN,FP
69,0,0,1,0.5414071083068848,0.757884681224823,TN,FP
70,0,0,1,0.5536476969718933,0.7606263756752014,TN,FP
71,0,0,1,0.5546983480453491,0.7682668566703796,TN,FP
72,0,0,1,0.5494863390922546,0.7737165689468384,TN,FP
73,0,0,1,0.5415274500846863,0.748416006565094,TN,FP
74,0,0,1,0.5514219403266907,0.7464762330055237,TN,FP
75,0,0,1,0.5587999820709229,0.7260886430740356,TN,FP
76,0,0,1,0.5564415454864502,0.7353912591934204,TN,FP
77,0,0,1,0.5117784738540649,1.3568304777145386,TN,FP
78,0,0,1,0.5222057104110718,0.7479045391082764,TN,FP
79,0,0,1,0.5407984256744385,0.7696026563644409,TN,FP
80,0,0,1,0.5172264575958252,1.3501803874969482,TN,FP
81,0,0,1,0.5212600827217102,0.6770536303520203,TN,FP
82,0,0,1,0.5279790759086609,1.5147203207015991,TN,FP
83,0,0,1,0.5298129320144653,0.7842222452163696,TN,FP
84,0,0,1,0.5222660899162292,1.6848762035369873,TN,FP
85,0,0,1,0.5279865860939026,0.6706295013427734,TN,FP
86,0,0,1,0.5196452736854553,0.6784646511077881,TN,FP
87,0,0,1,0.5187961459159851,1.3330845832824707,TN,FP
88,0,0,1,0.5242123603820801,1.3627448081970215,TN,FP
89,0,0,1,0.5210986137390137,1.6172475814819336,TN,FP
90,0,0,1,0.5178739428520203,0.9148317575454712,TN,FP
91,0,0,1,0.5199147462844849,1.3032257556915283,TN,FP
92,0,0,1,0.5165687799453735,1.3501499891281128,TN,FP
93,0,0,1,0.5278036594390869,1.2689896821975708,TN,FP
94,0,0,1,0.5175113081932068,0.6076186299324036,TN,FP
95,0,0,1,0.5161991715431213,1.2559443712234497,TN,FP
96,0,0,1,0.5193415284156799,1.2528221607208252,TN,FP
97,0,0,1,0.5240768194198608,1.2509682178497314,TN,FP
98,0,0,1,0.5179637670516968,1.2906157970428467,TN,FP
99,0,0,1,0.5138433575630188,1.2109700441360474,TN,FP
100,0,0,1,0.5186339616775513,1.2036131620407104,TN,FP
101,0,0,1,0.5162855982780457,1.1991764307022095,TN,FP
102,0,0,1,0.5130478143692017,0.6026293039321899,TN,FP
103,0,0,1,0.5193428993225098,0.6129395961761475,TN,FP
104,0,0,1,0.5132578015327454,1.1280287504196167,TN,FP
105,0,0,1,0.5137518048286438,1.1246109008789062,TN,FP
106,0,0,1,0.5113677382469177,1.1785948276519775,TN,FP
107,0,0,1,0.5081557631492615,1.2061561346054077,TN,FP
108,0,0,1,0.5145650506019592,1.1571639776229858,TN,FP
109,0,0,1,0.5078789591789246,1.1032840013504028,TN,FP
110,0,0,1,0.5066237449645996,1.0906105041503906,TN,FP
111,0,0,1,0.4991644620895386,1.1209946870803833,TN,FP
112,0,0,1,0.4987718164920807,1.0588772296905518,TN,FP
113,0,0,1,0.49336081743240356,1.0659621953964233,TN,FP
114,0,0,1,0.49714601039886475,1.1498451232910156,TN,FP
115,0,0,1,0.49108532071113586,1.0470763444900513,TN,FP
116,0,0,1,0.4817025363445282,1.0894994735717773,TN,FP
117,0,0,1,0.4812846779823303,0.9907422065734863,TN,FP
118,0,0,1,0.4801293909549713,1.081020712852478,TN,FP
119,0,0,1,0.5095060467720032,1.0689799785614014,TN,FP
120,0,0,1,0.49762818217277527,1.0160374641418457,TN,FP
121,0,0,1,0.5070676207542419,1.0692020654678345,TN,FP
122,0,0,1,0.5042971968650818,1.0726592540740967,TN,FP
123,0,0,1,0.5041142702102661,0.9944277405738831,TN,FP
