sample_id,ground_truth,classical_prediction,hybrid_prediction,classical_score,hybrid_score,classical_classification,hybrid_classification
1461,1,0,1,0.55253005027771,0.5948195457458496,FN,TP
1462,1,0,1,0.5405581593513489,0.6098164319992065,FN,TP
1463,1,0,1,0.5502304434776306,0.6119446754455566,FN,TP
1464,1,0,1,0.601570725440979,0.6416656374931335,FN,TP
1465,1,0,1,0.5829396843910217,0.6199923753738403,FN,TP
1466,1,0,1,0.5809453129768372,0.621260404586792,FN,TP
1467,1,0,1,0.5705271363258362,0.6458519101142883,FN,TP
1468,1,0,1,0.5726428627967834,0.6687781810760498,FN,TP
1469,1,0,1,0.5916730761528015,0.6625960469245911,FN,TP
1470,1,0,1,0.5933412313461304,0.7261766195297241,FN,TP
2360,1,0,1,0.6034590601921082,1.0012038946151733,FN,TP
2361,1,0,1,0.5999137759208679,0.7897529006004333,FN,TP
4987,1,0,1,0.5714216232299805,0.6970354318618774,FN,TP
4988,1,0,1,0.5827299356460571,0.6367208361625671,FN,TP
4989,1,0,1,0.5845853686332703,0.6757774353027344,FN,TP
4990,1,0,1,0.5847707390785217,0.709099531173706,FN,TP
4991,1,0,1,0.5959334373474121,0.7434550523757935,FN,TP
4992,1,0,1,0.5974429845809937,0.7296956777572632,FN,TP
4993,1,0,1,0.6029781103134155,0.6921859979629517,FN,TP
5404,1,0,1,0.6031947731971741,0.6473469734191895,FN,TP
5662,1,0,1,0.5621719360351562,0.5654885172843933,FN,TP
5663,1,0,1,0.5386228561401367,0.5707852840423584,FN,TP
5664,1,0,1,0.5540062189102173,0.6045504212379456,FN,TP
5665,1,0,1,0.5704181790351868,0.5899593234062195,FN,TP
5666,1,0,1,0.5557190179824829,0.6332353949546814,FN,TP
5667,1,0,1,0.5563223958015442,0.6030052304267883,FN,TP
5668,1,0,1,0.5495398640632629,0.6127387881278992,FN,TP
5669,1,0,1,0.559958815574646,0.6248919367790222,FN,TP
5670,1,0,1,0.5725879073143005,0.6500269174575806,FN,TP
5671,1,0,1,0.6076035499572754,0.6783851385116577,FN,TP
5672,1,0,1,0.6118426322937012,0.7532444596290588,FN,TP
6653,1,0,1,0.5851061940193176,0.763651430606842,FN,TP
6654,1,0,1,0.5886489748954773,0.7381352186203003,FN,TP
6655,1,0,1,0.5977392792701721,0.8048158288002014,FN,TP
6656,1,0,1,0.6131205558776855,0.7781312465667725,FN,TP
6657,1,0,1,0.5878742933273315,0.795297384262085,FN,TP
6658,1,0,1,0.5954099893569946,0.8091762065887451,FN,TP
6767,1,0,1,0.5279066562652588,0.6067102551460266,FN,TP
6768,1,0,1,0.5337929725646973,0.6129369139671326,FN,TP
6769,1,0,1,0.5455753207206726,0.5801859498023987,FN,TP
6770,1,0,1,0.5547659397125244,0.619868814945221,FN,TP
6771,1,0,1,0.5483055710792542,0.6404258012771606,FN,TP
6772,1,0,1,0.5573707222938538,0.6637621521949768,FN,TP
6773,1,0,1,0.556861937046051,0.6641497015953064,FN,TP
6774,1,0,1,0.5760524868965149,0.6994538903236389,FN,TP
6775,1,0,1,0.5870608687400818,0.6778900027275085,FN,TP
6776,1,0,1,0.5923441052436829,0.7846655249595642,FN,TP
7245,1,0,1,0.5996434688568115,0.6659335494041443,FN,TP
7246,1,0,1,0.6066088080406189,0.7310886383056641,FN,TP
